"country_name","timeperiod","v2x_libdem","pandem","panback","Type1","Type2","Type3","Type4","Type5","Type6","Type7","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","emlimit","emlaw","emstart","emend","emlimitdate","emlawapp","emlegapp","leglimit","legdisdate","legresdate","melim","melimstart","melimend","subvar","milinv","time","emname","misclimit"
"Afghanistan","Mar-Sep",0.212,0.15,0.083528,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,5,NA,"2020-08-30","2020-08-30",NA,NA,1,NA,NA,0,NA,NA,NA,0,"2020-06-17",NA,NA
"Afghanistan","Mar-Jun",0.212,0.15,0.1002336,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Afghanistan","Jul-Sep",0.212,0.1,0.0668224,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Albania","Mar-Sep",0.431,0.15,0.0735717,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,"2020-03-24","2020-06-23","2020-06-23",1,1,1,NA,NA,0,NA,NA,1,1,"2020-08-31","Constitution (Articles 100, 170, 174, point 1, and 175, point 2), LIGJ Nr. 45/2019 PËR MBROJTJEN CIVILE",NA
"Albania","Mar-Jun",0.431,0.15,0.1471434,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Albania","Jul-Sep",0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Algeria","Mar-Sep",0.119,0.25,0.104839,0,0,0,0,0,2,3,0,0,1,1,0,1,0,0,2,0,1,4,"2020-03-21",NA,"2020-04-04",0,0,2,NA,NA,1,"2020-04-22",NA,2,0,"2020-09-15","Constitution 1989 (reinst. 1996, rev. 2016), articles 99 (4), 143 (1)
-loi n° 88-07 du 7 Joumada Ethania 1408 correspondant au 26 janvier 1988 relative à l’hygiène, à la sécurité et à la médecine du travail (2)",NA
"Algeria","Mar-Jun",0.119,0.25,0.104839,0,0,0,0,0,2,3,0,0,1,1,0,1,0,0,2,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,0,NA,NA,NA
"Algeria","Jul-Sep",0.119,0.25,0.104839,0,0,0,0,0,2,3,0,0,1,1,0,1,0,0,2,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,0,NA,NA,NA
"Angola","Mar-Sep",0.23,0.25,0.1771,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,2,1,1,"2020-03-27","2020-05-25","2020-05-25",1,1,2,NA,NA,0,NA,NA,1,1,"2020-08-31","Constitution Article 58 and Law nº 17/91",NA
