"country_name","type4","melim","merepfact","merepgov","merepoth","mevhar","mephar","meinf","v2mecenefm_ord"
"Albania",3,0,0,0,1,0,0,0,2
"Algeria",3,1,1,1,0,0,0,1,1
"Armenia",3,2,1,1,0,0,0,0,3
"Azerbaijan",3,2,0,1,1,0,1,2,0
"Bangladesh",3,0,0,1,0,0,1,0,3
"Belarus",3,0,1,1,0,0,0,1,0
"Bolivia",3,2,0,0,0,0,0,0,2
"Bosnia and Herzegovina",3,0,0,1,0,0,0,1,3
"Brazil",3,0,1,1,1,1,0,2,2
"Burma/Myanmar",3,0,1,1,1,0,1,2,3
"Burundi",3,0,1,1,0,0,0,2,0
"Cambodia",3,1,0,0,1,0,0,1,1
"Chad",3,0,0,1,0,1,1,0,0
"China",3,1,1,1,1,1,0,2,0
"Cuba",3,0,0,0,0,0,0,0,0
"Democratic Republic of the Congo",3,0,0,1,0,0,1,0,1
"Egypt",3,2,1,1,1,0,1,2,1
"El Salvador",3,2,1,1,1,1,0,2,3
"Eritrea",3,0,0,0,0,0,0,0,0
"Ethiopia",3,2,0,0,0,1,0,0,3
"Ghana",3,0,0,1,1,1,1,1,3
"Guatemala",3,0,0,0,0,1,1,2,3
"Haiti",3,0,0,0,0,1,1,0,2
"Honduras",3,2,1,1,1,0,0,1,3
"Hungary",3,2,0,0,0,1,0,2,2
"India",3,1,1,1,1,1,1,2,2
"Indonesia",3,0,0,0,1,0,0,2,3
"Iran",3,1,1,1,1,1,1,2,0
"Iraq",3,0,1,1,0,1,1,1,2
"Ivory Coast",3,0,1,1,0,0,0,1,2
"Jordan",3,1,1,1,1,1,1,0,1
"Kazakhstan",3,2,0,1,0,0,1,1,0
"Kenya",3,1,0,1,0,1,1,1,3
"Kyrgyzstan",3,2,0,1,0,0,0,2,2
"Laos",3,3,1,1,1,0,0,2,0
"Liberia",3,1,0,1,0,1,1,2,3
"Madagascar",3,3,1,1,1,0,1,2,3
"Malaysia",3,0,1,1,0,1,1,0,3
"Mali",3,0,0,1,0,0,0,0,2
"Moldova",3,1,0,1,0,1,0,1,3
"Mongolia",3,1,1,1,0,0,0,0,4
"Morocco",3,2,0,0,0,1,1,2,2
"Namibia",3,1,0,1,0,0,0,1,3
"Nepal",3,0,0,1,0,0,1,0,3
"Nicaragua",3,0,1,1,0,1,0,2,0
"Niger",3,0,1,1,0,1,1,1,3
"Nigeria",3,1,1,1,1,1,1,2,3
"North Korea",3,0,0,0,0,0,0,0,0
"Oman",3,3,1,1,1,0,0,0,0
"Philippines",3,1,0,1,1,0,0,2,3
"Poland",3,0,0,0,1,0,1,0,2
