"country_name","type4_alt","melim","merepfact","merepgov","merepoth","mevhar","mephar","meinf"
"Afghanistan",0,0,0,0,0,0,0,0
"Albania",3,0,0,0,1,0,0,0
"Algeria",3,1,1,1,0,0,0,1
"Angola",0,0,0,0,0,0,0,0
"Argentina",0,0,0,0,0,0,0,0
"Armenia",3,2,1,1,0,0,0,0
"Australia",0,0,0,0,0,0,0,0
"Austria",0,0,0,0,0,0,0,0
"Azerbaijan",3,2,0,1,1,0,1,2
"Bangladesh",3,0,0,1,0,0,1,0
"Belarus",3,0,1,1,0,0,0,1
"Belgium",0,0,0,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0
"Bolivia",3,2,0,0,0,0,0,0
"Bosnia and Herzegovina",3,0,0,1,0,0,0,1
"Botswana",1,1,0,0,0,0,0,0
"Brazil",3,0,1,1,1,1,0,2
"Bulgaria",1,0,0,0,0,0,0,1
"Burkina Faso",0,0,0,0,0,0,0,0
"Burma/Myanmar",3,0,1,1,1,0,1,2
"Burundi",3,0,1,1,0,0,0,2
"Cambodia",3,1,0,0,1,0,0,1
"Cameroon",2,0,0,0,0,0,0,2
"Canada",0,0,0,0,0,0,0,0
"Central African Republic",0,0,0,0,0,0,0,0
"Chad",3,0,0,1,0,1,1,0
"Chile",0,0,0,0,0,0,0,0
"China",3,1,1,1,1,1,0,2
"Colombia",0,0,0,0,0,0,0,0
"Costa Rica",0,0,0,0,0,0,0,0
"Croatia",0,0,0,0,0,0,0,0
"Cuba",0,0,0,0,0,0,0,0
"Czech Republic",1,0,0,0,0,0,0,1
"Democratic Republic of the Congo",3,0,0,1,0,0,1,0
"Denmark",0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0
"Egypt",3,2,1,1,1,0,1,2
"El Salvador",3,2,1,1,1,1,0,2
"Eritrea",0,0,0,0,0,0,0,0
"Ethiopia",3,2,0,0,0,1,0,0
"Finland",0,0,0,0,0,0,0,0
"France",0,0,0,0,0,0,0,0
"Gabon",0,0,0,0,0,0,0,0
"Georgia",0,0,0,0,0,0,0,0
"Germany",0,0,0,0,0,0,0,0
