"country_name","Type1","Type2","Type3","Type4","Type5","Type6","Type7","v2x_libdem","v2x_regime","pandem","panback","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","milinv","leglimit","melim","emlimit"
"Afghanistan",0,0,0,0,0,0,3,0.212,1,0.15,0.1002336,0,0,1,1,0,0,1,0,0,0,0,0,0,NA
"Albania",0,0,2,2,0,0,3,0.431,1,0.25,0.179841933333333,0,0,0,0,1,0,0,0,0,2,1,1,0,0
"Algeria",0,0,1,0,0,2,3,0.119,1,0.3,0.111828266666667,0,0,1,1,0,1,0,0,2,1,0,2,1,1
"Angola",0,0,2,0,0,0,3,0.23,1,0.25,0.1771,0,0,1,1,0,0,0,0,0,2,1,2,0,1
"Argentina",0,0,3,0,0,0,0,0.631,2,0.15,0.1397034,0,0,0,0,0,0,0,0,0,3,1,2,0,1
"Armenia",0,0,0,0,0,0,3,0.641,1,0.15,0.0460238,0,0,1,1,0,0,0,0,0,0,0,0,3,1
"Australia",0,0,1,0,0,0,0,0.789,3,0.05,0.0110986,0,0,0,0,0,0,0,0,0,1,1,2,0,1
"Austria",0,0,0,0,0,0,0,0.721,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Azerbaijan",0,0,1,0,0,0,3,0.07,1,0.2,0.0434,0,0,1,1,1,2,0,1,0,1,0,2,0,1
"Bangladesh",0,0,2,0,0,0,3,0.1,1,0.25,0.066,0,0,1,1,0,0,0,1,0,2,1,0,0,1
"Belarus",0,0,0,2,0,2,3,0.115,1,0.35,0.142485,0,0,1,1,0,2,0,0,2,0,0,0,0,0
"Belgium",1,0,1,0,0,0,0,0.822,3,0.1,0.0390176,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"Benin",0,0,0,0,0,2,3,0.461,1,0.25,0.231913733333333,0,0,1,1,0,0,0,0,2,0,0,2,0,NA
"Bolivia",0,0,0,0,0,0,0,0.306,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
