"country_name","Quarter","Type1","Type2","Type3","Type4","Type5","Type6","Type7","v2x_libdem","v2x_regime","pandem","panback","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","milinv","leglimit","melim","emlimit"
"Afghanistan","Q2",0,0,0,0,0,0,3,0.212,1,0.15,0.1002336,0,0,1,1,0,0,1,0,0,0,0,0,0,NA
"Afghanistan","Q3",0,0,0,0,0,0,3,0.212,1,0.15,0.1002336,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Afghanistan","Q4",0,0,0,0,0,0,3,0.212,1,0.15,0.1002336,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Afghanistan","Summary",0,0,0,0,0,0,3,0.212,1,0.15,0.1002336,0,0,1,1,0,0,1,0,0,0,0,0,0,NA
"Albania","Q2",0,0,0,2,0,0,3,0.431,1,0.25,0.245239,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"Albania","Q3",0,0,0,2,0,0,0,0.431,1,0.1,0.0980956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania","Q4",0,0,2,2,0,0,0,0.431,1,0.2,0.1961912,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Albania","Summary",0,0,2,2,0,0,3,0.431,1,0.25,0.179841933333333,0,0,0,0,1,0,0,0,0,2,1,1,0,0
"Algeria","Q2",0,0,1,0,0,2,3,0.119,1,0.3,0.1258068,0,0,1,1,0,1,0,0,2,1,0,2,1,1
"Algeria","Q3",0,0,1,0,0,1,3,0.119,1,0.25,0.104839,0,0,1,1,0,1,0,0,1,1,0,2,1,1
"Algeria","Q4",0,0,1,0,0,1,3,0.119,1,0.25,0.104839,0,0,1,1,0,1,0,0,1,1,0,2,1,1
"Algeria","Summary",0,0,1,0,0,2,3,0.119,1,0.3,0.111828266666667,0,0,1,1,0,1,0,0,2,1,0,2,1,1
"Angola","Q2",0,0,2,0,0,0,3,0.23,1,0.25,0.1771,0,0,1,1,0,0,0,0,0,2,1,2,0,1
"Angola","Q3",0,0,2,0,0,0,3,0.23,1,0.25,0.1771,0,0,1,1,0,0,0,0,0,2,1,2,0,1
"Angola","Q4",0,0,2,0,0,0,3,0.23,1,0.25,0.1771,0,0,1,1,0,0,0,0,0,2,1,2,0,1
"Angola","Summary",0,0,2,0,0,0,3,0.23,1,0.25,0.1771,0,0,1,1,0,0,0,0,0,2,1,2,0,1
"Argentina","Q2",0,0,3,0,0,0,0,0.631,2,0.15,0.1397034,0,0,0,0,0,0,0,0,0,3,1,2,0,1
"Argentina","Q3",0,0,3,0,0,0,0,0.631,2,0.15,0.1397034,0,0,0,0,0,0,0,0,0,3,1,2,0,1
"Argentina","Q4",0,0,3,0,0,0,0,0.631,2,0.15,0.1397034,0,0,0,0,0,0,0,0,0,3,1,2,0,1
"Argentina","Summary",0,0,3,0,0,0,0,0.631,2,0.15,0.1397034,0,0,0,0,0,0,0,0,0,3,1,2,0,1
"Armenia","Q2",0,0,0,0,0,0,3,0.641,1,0.15,0.1380714,0,0,1,1,0,0,0,0,0,0,0,0,3,1
"Armenia","Q3",0,0,0,0,0,0,0,0.641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Armenia","Q4",0,0,0,0,0,0,0,0.641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Armenia","Summary",0,0,0,0,0,0,3,0.641,1,0.15,0.0460238,0,0,1,1,0,0,0,0,0,0,0,0,3,1
"Australia","Q2",0,0,0,0,0,0,0,0.789,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Australia","Q3",0,0,1,0,0,0,0,0.789,3,0.05,0.0332958,0,0,0,0,0,0,0,0,0,1,1,2,0,1
"Australia","Q4",0,0,0,0,0,0,0,0.789,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
"Australia","Summary",0,0,1,0,0,0,0,0.789,3,0.05,0.0110986,0,0,0,0,0,0,0,0,0,1,1,2,0,1
"Austria","Q2",0,0,0,0,0,0,0,0.721,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Austria","Q3",0,0,0,0,0,0,0,0.721,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Austria","Q4",0,0,0,0,0,0,0,0.721,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Austria","Summary",0,0,0,0,0,0,0,0.721,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Azerbaijan","Q2",0,0,1,0,0,0,3,0.07,1,0.2,0.05208,0,0,1,1,1,2,0,1,0,1,0,2,0,1
"Azerbaijan","Q3",0,0,0,0,0,0,3,0.07,1,0.15,0.03906,0,0,1,1,1,2,0,0,0,0,0,2,0,1
"Azerbaijan","Q4",0,0,0,0,0,0,3,0.07,1,0.15,0.03906,0,0,1,1,0,2,0,0,0,0,0,2,0,1
"Azerbaijan","Summary",0,0,1,0,0,0,3,0.07,1,0.2,0.0434,0,0,1,1,1,2,0,1,0,1,0,2,0,1
"Bangladesh","Q2",0,0,2,0,0,0,3,0.1,1,0.25,0.09,0,0,1,1,0,0,0,1,0,2,1,0,0,1
"Bangladesh","Q3",0,0,0,0,0,0,3,0.1,1,0.15,0.054,0,0,1,1,0,0,0,1,0,0,1,0,0,NA
"Bangladesh","Q4",0,0,0,0,0,0,3,0.1,1,0.15,0.054,0,0,1,1,0,0,0,1,0,0,1,0,0,NA
"Bangladesh","Summary",0,0,2,0,0,0,3,0.1,1,0.25,0.066,0,0,1,1,0,0,0,1,0,2,1,0,0,1
"Belarus","Q2",0,0,0,2,0,2,3,0.115,1,0.35,0.142485,0,0,1,1,0,2,0,0,2,0,0,0,0,0
"Belarus","Q3",0,0,0,2,0,2,3,0.115,1,0.35,0.142485,0,0,1,1,0,2,0,0,2,0,0,0,0,0
"Belarus","Q4",0,0,0,2,0,2,3,0.115,1,0.35,0.142485,0,0,1,1,0,2,0,0,2,0,0,0,0,0
"Belarus","Summary",0,0,0,2,0,2,3,0.115,1,0.35,0.142485,0,0,1,1,0,2,0,0,2,0,0,0,0,0
"Belgium","Q2",1,0,1,0,0,0,0,0.822,3,0.1,0.0585264,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"Belgium","Q3",1,0,0,0,0,0,0,0.822,3,0.05,0.0292632,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Belgium","Q4",1,0,0,0,0,0,0,0.822,3,0.05,0.0292632,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Belgium","Summary",1,0,1,0,0,0,0,0.822,3,0.1,0.0390176,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"Benin","Q2",0,0,0,0,0,1,3,0.461,1,0.2,0.1987832,0,0,1,1,0,0,0,0,1,0,0,2,0,NA
"Benin","Q3",0,0,0,0,0,2,3,0.461,1,0.25,0.248479,0,0,1,1,0,0,0,0,2,0,0,2,0,NA
"Benin","Q4",0,0,0,0,0,2,3,0.461,1,0.25,0.248479,0,0,1,1,0,0,0,0,2,0,0,2,0,NA
"Benin","Summary",0,0,0,0,0,2,3,0.461,1,0.25,0.231913733333333,0,0,1,1,0,0,0,0,2,0,0,2,0,NA
"Bolivia","Q2",0,0,0,0,0,0,0,0.306,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
"Bolivia","Q3",0,0,0,0,0,0,0,0.306,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
"Bolivia","Q4",0,0,0,0,0,0,0,0.306,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
"Bolivia","Summary",0,0,0,0,0,0,0,0.306,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
"Bosnia and Herzegovina","Q2",3,0,0,1,0,0,3,0.345,2,0.35,0.316365,3,0,0,1,0,1,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina","Q3",3,0,0,0,0,0,1,0.345,2,0.2,0.18078,3,0,0,0,0,1,0,0,0,0,0,0,0,NA
"Bosnia and Herzegovina","Q4",3,0,0,0,0,0,1,0.345,2,0.2,0.18078,3,0,0,0,0,1,0,0,0,0,0,0,0,NA
"Bosnia and Herzegovina","Summary",3,0,0,1,0,0,3,0.345,2,0.35,0.225975,3,0,0,1,0,1,0,0,0,0,0,0,0,0
"Botswana","Q2",0,0,0,0,0,0,0,0.55,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
"Botswana","Q3",0,0,0,0,0,0,0,0.55,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
"Botswana","Q4",0,0,0,0,0,0,0,0.55,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
"Botswana","Summary",0,0,0,0,0,0,0,0.55,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
"Brazil","Q2",0,0,0,2,0,2,2,0.508,2,0.3,0.2999232,0,0,0,0,0,2,1,0,2,0,0,2,0,0
"Brazil","Q3",0,0,0,2,0,2,2,0.508,2,0.3,0.2999232,0,0,0,0,0,0,1,0,2,0,0,2,0,0
"Brazil","Q4",0,0,0,2,0,2,2,0.508,2,0.3,0.2999232,0,0,0,0,0,0,1,0,2,0,0,2,0,0
"Brazil","Summary",0,0,0,2,0,2,2,0.508,2,0.3,0.2999232,0,0,0,0,0,2,1,0,2,0,0,2,0,0
"Bulgaria","Q2",3,0,0,0,0,0,1,0.488,2,0.2,0.1998848,3,0,0,0,0,1,0,0,0,0,0,2,0,1
"Bulgaria","Q3",2,0,0,0,0,0,0,0.488,2,0.1,0.0999424,2,0,0,0,0,0,0,0,0,0,0,0,0,1
